（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,392,4,177,2,569,6,3.84%,3.17%,4.43%,3.17%,4.01%,3.17%,563,4,246,2,809,6,4.27%,2.44%,4.81%,4.42%,2.47%,99.26%,100.00%,19,0,3.34%,0.00%,US$759.81,US$0.00,18,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,255,2,38,0,293,2,2.50%,1.59%,0.95%,0.00%,2.06%,1.06%,362,2,50,0,412,2,2.75%,1.22%,0.98%,2.25%,0.82%,100.00%,100.00%,12,0,4.10%,0.00%,US$419.88,US$0.00,12,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,466,7,147,3,613,10,4.57%,5.56%,3.68%,4.76%,4.32%,5.29%,636,10,196,3,832,13,4.83%,6.10%,3.83%,4.55%,5.35%,99.40%,100.00%,12,0,1.96%,0.00%,US$719.76,US$0.00,12,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,713,14,282,5,995,19,6.99%,11.11%,7.06%,7.94%,7.01%,10.05%,979,27,389,5,"1,368",32,7.43%,16.46%,7.60%,7.48%,13.17%,99.71%,100.00%,12,1,1.21%,5.26%,US$719.76,US$59.98,12,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,323,2,98,3,421,5,3.17%,1.59%,2.45%,4.76%,2.97%,2.65%,400,2,122,4,522,6,3.04%,1.22%,2.38%,2.85%,2.47%,99.62%,100.00%,10,0,2.38%,0.00%,US$269.91,US$0.00,10,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,191,2,76,1,267,3,1.87%,1.59%,1.90%,1.59%,1.88%,1.59%,249,3,85,1,334,4,1.89%,1.83%,1.66%,1.83%,1.65%,98.20%,100.00%,10,0,3.75%,0.00%,US$269.91,US$0.00,10,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,355,7,59,0,414,7,3.48%,5.56%,1.48%,0.00%,2.92%,3.70%,495,9,77,0,572,9,3.76%,5.49%,1.51%,3.13%,3.70%,100.00%,100.00%,9,0,2.17%,0.00%,US$269.91,US$0.00,9,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,137,3,54,1,191,4,1.34%,2.38%,1.35%,1.59%,1.35%,2.12%,194,4,63,1,257,5,1.47%,2.44%,1.23%,1.40%,2.06%,100.00%,100.00%,8,0,4.19%,0.00%,US$207.92,US$0.00,8,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,178,1,64,0,242,1,1.74%,0.79%,1.60%,0.00%,1.70%,0.53%,220,1,95,0,315,1,1.67%,0.61%,1.86%,1.72%,0.41%,99.37%,100.00%,8,0,3.31%,0.00%,US$527.92,US$0.00,8,0
B08DXYYPHT,B07TRKBFTF,UOZZI BEDDING 3 Piece Reversible White Quilt Set Queen Size with Blue Green Leaves and Red Flowers Soft Microfiber Lightweight Floral Adult Summer Coverlet Bedspread for All Season,UQT60-Q,185,0,84,0,269,0,1.81%,0.00%,2.10%,0.00%,1.89%,0.00%,211,0,94,0,305,0,1.60%,0.00%,1.84%,1.67%,0.00%,98.69%,0.00%,7,0,2.60%,0.00%,US$279.93,US$0.00,7,0
